used_script_digital;used_script_physical;used_textbook;used_guideline;used_anki;used_custom_anki;used_moodle_quiz;used_moodle_task;used_other;elearning_inclination;helpful_script;helpful_video;helpful_streaming;helpful_contact_event;helpful_task;helpful_quiz;helpful_anki;helpful_anki_custom;helpful_all_equally;prefer_online;used_anki_general;helpful_anki_general;anki_usage;anki_used_in_semester;anki_used_for_exam;anki_used_special;anki_used_other;anki_on_pc;anki_on_laptop;anki_on_tablet;anki_on_mobile;not_used_no_time;not_used_not_interested;not_used_sufficient_material;not_used_long_installation;not_used_unaware;not_used_custom;not_used_other;anki_again;performance_general;performance_pharm;studying_style_unchanged;less_time_spent_studying;more_time_spent_studying;more_elearning;less_studying_with_fellows;more_studying_with_fellows;other_changes;gender;score_percentage;group;age;score
0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;;;1;3;;;;;;;;;;;;;;;;;;;;4;4;0;0;0;1;1;0;0;1;0,551724138;KS_SoSe22;ZZ;16
1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;;;0;1;;;;;;;;;;;;;;;;;;;;3;3;1;0;0;0;0;0;0;1;0,827586207;KS_SoSe22;ZZ;24
1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;3;0;0;1;0;1;0;0;1;0,724137931;KS_SoSe22;23;21
0;1;0;0;0;0;1;1;0;;1;0;0;0;0;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;3;0;0;0;0;1;0;0;1;0,586206897;KS_SoSe22;ZZ;17
1;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;3;0;1;1;0;1;0;0;2;;KS_SoSe22;ZZ;
1;0;1;0;0;0;0;1;0;1;1;0;0;1;0;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;3;0;0;0;1;0;0;0;2;0,689655172;KS_SoSe22;ZZ;20
1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;1;;;0;2;;;;;;;;;;;;;;;;;;;;2;4;0;1;0;0;1;0;0;1;0,862068966;KS_SoSe22;ZZ;25
1;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;3;2;0;0;1;0;0;0;0;2;0,620689655;KS_SoSe22;Z6;18
1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;1;;;0;3;;;;;;;;;;;;;;;;;;;;5;5;1;0;0;0;0;0;0;2;0,896551724;KS_SoSe22;ZZ;26
1;0;0;0;0;0;1;1;0;1;1;1;0;1;0;1;;;0;2;;;;;;;;;;;;;;;;;;;;4;2;0;1;0;0;0;1;0;2;0,689655172;KS_SoSe22;ZZ;20
